track,frame_idx,instance.score,nose.x,nose.y,nose.score,left_ear.x,left_ear.y,left_ear.score,right_ear.x,right_ear.y,right_ear.score,neck.x,neck.y,neck.score,center.x,center.y,center.score,left_flank.x,left_flank.y,left_flank.score,right_flank.x,right_flank.y,right_flank.score,tail_base.x,tail_base.y,tail_base.score,tail_center.x,tail_center.y,tail_center.score,tail_tip.x,tail_tip.y,tail_tip.score
,44,7.938357353,654.0216064,208.0140991,0.574396133,636.0305786,271.9855042,0.759171784,578.0109253,239.9833527,1.11853385,602.0100098,262.0038757,1.022397876,577.9996338,312.0147705,0.887965322,603.984314,334.0227661,0.737757683,531.9742432,290.0079041,0.600465298,547.9602661,350.0158386,0.910669088,501.9772949,396.0004883,0.760586619,416.0318909,492.016449,0.566413701
,45,8.102847099,649.9544067,201.9819183,0.515813351,632.0183716,270.0295105,0.926010787,578.0056763,237.9882355,1.091122746,603.9960327,258.0067444,1.048323989,579.9857788,311.9707947,0.891287088,603.9949341,334.0248718,0.73609376,532.0702515,290.0115356,0.642712772,547.9818115,350.0046082,0.908230305,498.0439453,398.0115662,0.778914988,416.0322571,492.0244751,0.564337552
,46,8.005890846,649.9747314,199.9955444,0.485684425,636.041626,267.9952393,0.82315743,577.961853,236.0218964,1.067734957,602.0179443,256.008667,1.094999552,581.9821167,309.9865112,0.881877482,607.9852295,332.0187988,0.752978325,534.0223389,288.0068054,0.617479026,548.0219116,349.9816895,0.926324487,498.032959,398.0082092,0.790023923,417.9648438,493.9746094,0.565632224
,47,7.623739243,655.9859009,203.894455,0.477158785,639.940918,265.9920349,0.595840752,573.9815063,235.978302,1.019808173,598.0139771,256.0022583,1.068511844,580.0194702,309.973877,0.870158732,605.9786377,332.0124817,0.744576216,535.9736938,286.030426,0.562210739,548.048584,349.9614868,0.927825689,498.048584,398.0119324,0.786987782,416.0379944,492.0187073,0.57066077
,48,7.520362377,649.9993896,203.9546814,0.446659327,636.0580444,264.0295715,0.646558166,570.0130615,236,0.975018799,596.0045776,252.0132599,1.054828525,580.0111084,308.0278015,0.849268794,604.0087891,332.0103149,0.716248393,534.0309448,286.0507507,0.544471562,549.9906006,348.0293579,0.92995435,500.024292,396.0214233,0.780515492,417.9668579,492.016571,0.576838434
,49,7.499276638,650.0140991,205.9818726,0.403675795,635.9438477,266.0297546,0.649888277,567.9909058,237.9899902,0.984357238,594.0097656,252.0057526,1.090600848,580.0206909,308.0240784,0.835289598,605.9591675,331.9489746,0.724169552,535.9667358,286.0459595,0.50824368,550.0113525,348.0065613,0.952391446,501.9778137,395.9872742,0.773595333,417.9656067,492.0185242,0.577064693
,50,7.456165314,650.008728,210.0319366,0.399021715,632.0332031,268.0379028,0.716873527,564.0267944,240.0090942,0.978788435,594.0103149,249.9975128,1.115207672,580.0161743,309.9930725,0.784654677,604.0053711,332.0116272,0.683982432,534.0285034,286.0422363,0.476548582,550.0072632,348.0128174,0.950994432,501.9803467,395.9929504,0.771236479,417.9668884,492.0195007,0.578857362
,51,7.451244831,650.0142822,209.9923553,0.480256349,624.0246582,272.0255432,0.867184222,563.9689331,240.031662,0.951419592,593.9970093,250.0117493,1.098825932,580.0004272,311.9857788,0.740240574,600.0040894,335.9846802,0.638379693,532.0700073,288.012146,0.419865251,550.0221558,349.9632874,0.939404905,501.9934692,398.0002747,0.727092803,417.9684753,492.0090027,0.5885759
,52,7.167799473,651.9037476,208.0355988,0.305694431,620.0244141,277.9833069,0.824336946,560.0266724,244.0346832,0.969377935,590.0115356,256.0046692,1.039047837,576.0239868,313.9987183,0.701113224,597.993103,337.9943237,0.642227292,532.0707397,292.0288696,0.529189765,548.0372925,351.9684753,0.850333154,501.9981384,398.0205688,0.73698777,417.9653625,492.004425,0.569491506
,53,6.788352966,585.9656982,210.026062,0.208052993,613.9857178,286.0041504,0.927811086,556.0084839,253.9892426,0.972955644,583.9921875,266.0018921,1.001997709,572.0278931,316.0159607,0.590299606,594.0214233,340.0435181,0.56008172,531.9650269,295.959259,0.471079528,545.9853516,352.0612488,0.746679068,501.9972534,398.0252686,0.730667472,417.9656677,491.9970093,0.578728139
,54,6.161209583,,,0,608.0014648,291.995575,0.929121912,550.0300903,258.0257568,1.06818223,574.0275879,273.9910278,0.913382947,570.0328369,316.0203552,0.500014365,582.0147095,343.9943848,0.393564433,526.0515747,300.0119629,0.276960015,541.9910889,356.0108948,0.618833303,498.0389099,402.0059509,0.733547211,417.9676514,492.0022888,0.571029067
,55,6.111114979,,,0,606.0206909,297.9967651,0.926513314,548.024353,264.0308533,1.078264594,574.0241089,276.006897,0.967433691,572.0036011,319.9708862,0.482499242,580.0227051,346.0057983,0.379333615,548.0094604,304.0576782,0.242967218,539.9456787,358.0175781,0.564766228,498.0306091,402.0113525,0.73180443,417.9667969,492.0053406,0.571101367
,56,6.159264088,642.0744629,232.0382843,0.211742938,606.0112305,300.0297546,0.929043651,547.9584961,268.0410767,1.084667921,574.0158691,278.0072327,0.967040598,572.0170288,321.9694214,0.436394483,590.1234131,205.9856415,0.385625958,548.0393677,307.9571228,0.234637648,536.0454102,360.0057678,0.601051211,498.0217285,402.0112915,0.734892428,417.9684143,492.0018616,0.574167252
,57,6.08666563,,,0,604.0251465,305.994873,0.946392894,543.9939575,278.0321655,1.056585789,576.0097046,283.999939,1.008906722,574.0181885,324.0062561,0.348177701,586.0661621,342.0180969,0.408643395,548.0097656,309.966217,0.259655237,536.0062256,360.0028076,0.582416892,498.0133667,402.0015564,0.729510605,417.9701843,491.9984131,0.579122066
,58,6.193076134,629.9219971,251.9921722,0.356288791,608.0075684,303.9500427,0.734421492,543.958313,289.9997864,0.990415156,576.0154419,293.9915466,0.939624667,574.0356445,331.9841614,0.38119483,590.0375366,347.988678,0.6357373,549.9458008,311.9367065,0.205592796,536.0285034,360.0127258,0.657389522,498.020752,402.0284119,0.736261547,416.0231323,491.9938049,0.556150675
,59,6.837224483,563.9662476,227.9768524,0.426540494,595.9613647,292.0357666,0.440507561,545.9801636,291.9909363,0.981862187,581.9659424,294.0006714,0.924866676,573.9943848,332.014801,0.76867038,593.965271,349.999939,0.672000408,546.0484009,315.9900513,0.423703909,535.9880981,360.0322266,0.889763653,493.9979858,407.9994507,0.730004191,400.0244751,464.0134277,0.579305291
,60,8.192378044,551.9592896,221.9874268,0.720372498,602.0358887,277.9918518,0.927033424,545.9853516,291.9972534,1.001896381,578.0008545,291.9820251,0.993846834,577.9764404,331.9684143,0.876007497,605.9706421,347.993866,0.78513968,540.0044556,319.961731,0.569804966,535.9969482,364.0215454,0.973713636,491.9943848,411.9850769,0.744034946,401.9767456,464.0055542,0.600529015
,61,8.531929016,537.9683228,221.9781799,0.720187604,594.0022583,265.9825439,0.923557281,544.0101318,288.00177,1.059115171,573.9781494,282.0154114,0.938241482,579.9887695,328.0127869,0.8725667,624.0059204,332.0167542,0.830092967,534.0316772,318.0333252,0.833677471,536.0461426,368.0203857,0.944390535,493.9843445,411.978363,0.756459951,397.9976196,463.9697876,0.653640091
,62,8.479277611,519.993042,219.9954681,0.919320762,569.9932251,240.0386505,0.595865428,539.9920654,279.9950867,1.051135182,568.020813,276.0048218,0.921276808,577.9771729,325.9878235,0.799613595,626.006897,324.0074158,0.848389447,532.046814,317.9773254,0.943905294,541.9750366,369.997467,0.987168193,494.0245972,411.9741516,0.780505836,398.0047607,462.0185547,0.632097423
